"x","y","z","Stardesc","Multiple","Colour","Name","Planet Count","Atmosphere","Temperature","Biosphere","Population","TechLevel","World Tag 1","World Tag 2","GalacticX","GalacticY","clusterNum","mapcolour","FullName"
32,86.48,-2,"Type'M'flare star",0,"#C80000","","1","Inert Gas|","Temperate|","Immiscible biosphere|","Tens of thousands|","0. Stone age|","Bubble Cities|","Bubble Cities|",77782,99336.48,"1","#ffe119","Pento"
115,22.08,0,"Faint type'M'red star",0,"#C80000","","1","Corrosive|","Warm|","Human-miscible biosphere|","Tens of thousands|","4. Baseline postech|","Alien Ruins|","Alien Ruins|",77865,99272.08,"1","#ffe119","Hodi"
13,168.36,-29,"Type'M'flare star",0,"#C80000","","5","Corrosive, and invasive atmosphere|Breathable Mix|Corrosive, and invasive atmosphere|Breathable Mix|Breathable Mix|","Warm|Variable cold-to-temperate|Warm|Variable cold-to-temperate|Variable cold-to-temperate|","No native biosphere|Biosphere remnants|Human-miscible biosphere|Immiscible biosphere|Biosphere remnants|","Hundreds of thousands|Millions|Millions|Hundreds of thousands|Millions|","4. Baseline postech|4. Baseline postech|3. Twentieth-century|5. Pretech|4. Baseline postech|","Altered Humanity|Out of Contact|Cold War|Cold War|Out of Contact|","Altered Humanity|Out of Contact|Cold War|Cold War|Out of Contact|",77763,99418.36,"1","#ffe119","Donedaso"
66,123.28,0,"Faint type'M'red star",0,"#C80000","","5","Invasive, toxic atmosphere|Breathable Mix|Corrosive, and invasive atmosphere|Breathable Mix|Invasive, toxic atmosphere|","Temperate|Variable cold-to-temperate|Variable temperate-to-warm|Frozen|Warm|","No native biosphere|Biosphere remnants|No native biosphere|Biosphere remnants|Hybrid biosphere|","Billions|Millions|Hundreds of thousands|Tens of thousands|Millions|","4. Baseline postech|4. Baseline postech|2. Nineteenth-century|0. Stone age|4. Baseline postech|","Area 51|Out of Contact|Cold War|Desert World|Bubble Cities|","Area 51|Out of Contact|Cold War|Desert World|Bubble Cities|",77816,99373.28,"1","#ffe119","Sanonta"
237,230.92,-24,"Type'M'flare star",0,"#C80000","","5","Invasive, toxic atmosphere|Invasive, toxic atmosphere|Airless/Thin Atmosphere|Corrosive, and invasive atmosphere|Inert Gas|","Variable cold-to-temperate|Warm|Variable cold-to-temperate|Variable cold-to-temperate|Warm|","Human-miscible biosphere|No native biosphere|Biosphere remnants|Microbial life|Human-miscible biosphere|","Tens of thousands|Hundreds of thousands|Billions|Outpost|Billions|","4. Baseline postech|4. Baseline postech|4. Baseline postech|4. Baseline postech|0. Stone age|","Desert World|Altered Humanity|Out of Contact|Alien Ruins|Badlands World|","Desert World|Altered Humanity|Out of Contact|Alien Ruins|Badlands World|",77987,99480.92,"1","#ffe119","Ora"
82,119.6,0,"Type'M'flare star",0,"#C80000","","4","Thick atmosphere, breathable with a pressure mask|Airless/Thin Atmosphere|Corrosive, and invasive atmosphere|Airless/Thin Atmosphere|","Temperate|Frozen|Cold|Warm|","Human-miscible biosphere|Biosphere remnants|No native biosphere|No native biosphere|","Hundreds of thousands|Hundreds of thousands|Tens of thousands|Tens of thousands|","4. Baseline postech|3. Twentieth-century|4. Baseline postech|4. Baseline postech|","Bubble Cities|Out of Contact|Altered Humanity|Desert World|","Bubble Cities|Out of Contact|Altered Humanity|Desert World|",77832,99369.6,"1","#ffe119","Nadanta"
125,157.32,-1,"Type'M'flare star",0,"#C80000","","4","Thick atmosphere, breathable with a pressure mask|Thick atmosphere, breathable with a pressure mask|Corrosive, and invasive atmosphere|Thick atmosphere, breathable with a pressure mask|","Temperate|Frozen|Burning|Variable temperate-to-warm|","Human-miscible biosphere|Biosphere remnants|Human-miscible biosphere|No native biosphere|","Hundreds of thousands|Hundreds of thousands|Tens of thousands|Hundreds of thousands|","4. with specialties or surviving pretech|1. Medieval|3. Twentieth-century|4. with specialties or surviving pretech|","Abandoned Colony|Out of Contact|Desert World|Altered Humanity|","Abandoned Colony|Out of Contact|Desert World|Altered Humanity|",77875,99407.32,"1","#ffe119","Dosika"
24,11.96,0,"Type'M'flare star",4,"#C80000","","4","Breathable Mix|Breathable Mix|Corrosive, and invasive atmosphere|Breathable Mix|","Temperate|Variable cold-to-temperate|Warm|Cold|","No native biosphere|Biosphere remnants|Hybrid biosphere|Engineered biosphere|","Hundreds of thousands|Millions|Tens of thousands|Hundreds of thousands|","3. Twentieth-century|4. Baseline postech|4. with specialties or surviving pretech|1. Medieval|","Cold War|Out of Contact|Area 51|Civil War|","Cold War|Out of Contact|Area 51|Civil War|",77774,99261.96,"1","#ffe119","Bantunra"
107,228.16,-6,"Type'M'red star",5,"#C80000","","4","Breathable Mix|Breathable Mix|Corrosive, and invasive atmosphere|Breathable Mix|","Variable cold-to-temperate|Variable cold-to-temperate|Temperate|Temperate|","Microbial life|Biosphere remnants|Human-miscible biosphere|Microbial life|","Aliens|Millions|Outpost|Outpost|","2. Nineteenth-century|4. Baseline postech|4. Baseline postech|4. Baseline postech|","Bubble Cities|Out of Contact|Cold War|Cold War|","Bubble Cities|Out of Contact|Cold War|Cold War|",77857,99478.16,"1","#ffe119","Domu"
-3,233.68,1,"Type'M'flare star",0,"#C80000","","1","Inert Gas|","Burning|","No native biosphere|","Outpost|","4. Baseline postech|","Area 51|","Area 51|",77747,99733.68,"1","#ffe119","Ruso"
17,1.84,0,"Type'M'flare star",0,"#C80000","","2","Corrosive|Thick atmosphere, breathable with a pressure mask|","Temperate|Temperate|","Immiscible biosphere|Microbial life|","Hundreds of thousands|Billions|","1. Medieval|4. Baseline postech|","Colonized Population|Badlands World|","Colonized Population|Badlands World|",77767,99501.84,"1","#ffe119","Amentabo"
83,160.08,4,"Type'M'flare star",0,"#C80000","","2","Corrosive, and invasive atmosphere|Breathable Mix|","Variable temperate-to-warm|Warm|","Human-miscible biosphere|No native biosphere|","Millions|Millions|","4. Baseline postech|2. Nineteenth-century|","Badlands World|Badlands World|","Badlands World|Badlands World|",77833,99660.08,"1","#ffe119","Nuru"
9,168.36,1,"Type'M'flare star",1,"#C80000","","2","Invasive, toxic atmosphere|Breathable Mix|","Variable cold-to-temperate|Temperate|","No native biosphere|Immiscible biosphere|","Millions|Millions|","5. Pretech|4. with specialties or surviving pretech|","Area 51|Alien Ruins|","Area 51|Alien Ruins|",77759,99668.36,"1","#ffe119","Enradamuda"
33,86.48,2,"Type'M'flare star",0,"#C80000","","3","Invasive, toxic atmosphere|Thick atmosphere, breathable with a pressure mask|Inert Gas|","Frozen|Temperate|Temperate|","Human-miscible biosphere|Hybrid biosphere|Human-miscible biosphere|","Millions|Hundreds of thousands|Hundreds of thousands|","4. Baseline postech|4. Baseline postech|3. Twentieth-century|","Cold War|Altered Humanity|Badlands World|","Cold War|Altered Humanity|Badlands World|",77783,99586.48,"1","#ffe119","Hinra"
233,32.2,0,"White dwarf star",1,"#C8C8C8","","3","Thick atmosphere, breathable with a pressure mask|Breathable Mix|Breathable Mix|","Warm|Cold|Cold|","Immiscible biosphere|No native biosphere|Immiscible biosphere|","Hundreds of thousands|Tens of thousands|Billions|","2. Nineteenth-century|3. Twentieth-century|4. Baseline postech|","Bubble Cities|Area 51|Altered Humanity|","Bubble Cities|Area 51|Altered Humanity|",77983,99532.2,"1","#ffe119","Dero"
88,87.4,120,"Type'M'red star",1,"#C80000","","3","Thick atmosphere, breathable with a pressure mask|Corrosive|Corrosive|","Cold|Frozen|Cold|","Engineered biosphere|Human-miscible biosphere|Immiscible biosphere|","Tens of thousands|Hundreds of thousands|Outpost|","4. Baseline postech|4. Baseline postech|3. Twentieth-century|","Desert World|Abandoned Colony|Civil War|","Desert World|Abandoned Colony|Civil War|",77838,99587.4,"1","#ffe119","Bosu"
218,205.16,82,"Faint type'M'red star",5,"#C80000","Kanunrenabigu","4","Thick atmosphere, breathable with a pressure mask|Airless/Thin Atmosphere|Breathable Mix|Breathable Mix|","Temperate|Variable temperate-to-warm|Temperate|Cold|","Hybrid biosphere|No native biosphere|Human-miscible biosphere|No native biosphere|","Billions|Hundreds of thousands|Hundreds of thousands|Failed colony|","4. Baseline postech|4. Baseline postech|4. Baseline postech|5. Pretech|","Alien Ruins|Colonized Population|Civil War|Badlands World|","Alien Ruins|Colonized Population|Civil War|Badlands World|",77968,99705.16,"1","#ffe119","Kanunrenabigu"
25,12.88,0,"Type'M'flare star",1,"#C80000","Anri","4","Breathable Mix|Breathable Mix|Breathable Mix|Breathable Mix|","Temperate|Variable temperate-to-warm|Temperate|Temperate|","Human-miscible biosphere|Biosphere remnants|Human-miscible biosphere|Hybrid biosphere|","Tens of thousands|Outpost|Hundreds of thousands|Hundreds of thousands|","4. Baseline postech|3. Twentieth-century|4. Baseline postech|4. Baseline postech|","Altered Humanity|Abandoned Colony|Civil War|Bubble Cities|","Altered Humanity|Abandoned Colony|Civil War|Bubble Cities|",77775,99512.88,"1","#ffe119","Anri"
210,208.84,0,"Type'M'flare star",0,"#C80000","Doba","4","Breathable Mix|Invasive, toxic atmosphere|Breathable Mix|Invasive, toxic atmosphere|","Variable cold-to-temperate|Variable cold-to-temperate|Warm|Temperate|","Hybrid biosphere|Microbial life|Human-miscible biosphere|Human-miscible biosphere|","Millions|Failed colony|Millions|Millions|","4. Baseline postech|4. Baseline postech|4. Baseline postech|4. Baseline postech|","Colonized Population|Cold War|Colonized Population|Cold War|","Colonized Population|Cold War|Colonized Population|Cold War|",77960,99708.84,"1","#ffe119","Doba"
237,157.32,0,"Type'M'flare star",0,"#C80000","Dera","5","Breathable Mix|Inert Gas|Breathable Mix|Breathable Mix|Breathable Mix|","Warm|Cold|Temperate|Variable temperate-to-warm|Warm|","Human-miscible biosphere|Immiscible biosphere|Human-miscible biosphere|Hybrid biosphere|Immiscible biosphere|","Tens of thousands|Billions|Hundreds of thousands|Tens of thousands|Millions|","4. Baseline postech|4. Baseline postech|4. Baseline postech|0. Stone age|4. Baseline postech|","Out of Contact|Badlands World|Civil War|Bubble Cities|Cold War|","Out of Contact|Badlands World|Civil War|Bubble Cities|Cold War|",77987,99657.32,"1","#ffe119","Dera"
2,123.28,0,"Type'M'flare star",0,"#C80000","","5","Breathable Mix|Invasive, toxic atmosphere|Breathable Mix|Invasive, toxic atmosphere|Invasive, toxic atmosphere|","Burning|Cold|Frozen|Variable cold-to-temperate|Warm|","No native biosphere|No native biosphere|Human-miscible biosphere|Human-miscible biosphere|Immiscible biosphere|","Hundreds of thousands|Tens of thousands|Aliens|Millions|Millions|","4. Baseline postech|3. Twentieth-century|5. Pretech|1. Medieval|4. Baseline postech|","Area 51|Area 51|Colonized Population|Area 51|Colonized Population|","Area 51|Area 51|Colonized Population|Area 51|Colonized Population|",77752,99623.28,"1","#ffe119","Baba"
228,57.96,1,"Faint type'M'red star",0,"#C80000","","1","Breathable Mix|","Variable cold-to-temperate|","No native biosphere|","Billions|","0. Stone age|","Civil War|","Civil War|",77978,99557.96,"1","#ffe119","Bakendeme"
114,94.76,184,"Type'M'red star",0,"#C80000","","2","Breathable Mix|Breathable Mix|","Variable temperate-to-warm|Temperate|","Microbial life|No native biosphere|","Hundreds of thousands|Hundreds of thousands|","3. Twentieth-century|3. Twentieth-century|","Altered Humanity|Badlands World|","Altered Humanity|Badlands World|",77864,99594.76,"1","#ffe119","Ate"
41,168.36,76,"Type'M'flare star",1,"#C80000","","2","Breathable Mix|Breathable Mix|","Temperate|Variable temperate-to-warm|","Immiscible biosphere|Engineered biosphere|","Millions|Tens of thousands|","4. Baseline postech|4. Baseline postech|","Civil War|Altered Humanity|","Civil War|Altered Humanity|",77791,99668.36,"1","#ffe119","Kekesisa"
27,88.32,0,"Type'M'flare star",3,"#C80000","","2","Breathable Mix|Corrosive, and invasive atmosphere|","Variable temperate-to-warm|Cold|","Microbial life|No native biosphere|","Outpost|Tens of thousands|","4. Baseline postech|3. Twentieth-century|","Alien Ruins|Area 51|","Alien Ruins|Area 51|",77777,99588.32,"1","#ffe119","Mipomeke"
83,223.56,0,"Type'M'flare star",0,"#C80000","Dabiki","3","Breathable Mix|Invasive, toxic atmosphere|Invasive, toxic atmosphere|","Variable cold-to-temperate|Variable cold-to-temperate|Temperate|","Immiscible biosphere|Biosphere remnants|Human-miscible biosphere|","Tens of thousands|Tens of thousands|Hundreds of thousands|","4. Baseline postech|4. Baseline postech|4. Baseline postech|","Colonized Population|Desert World|Bubble Cities|","Colonized Population|Desert World|Bubble Cities|",77833,99723.56,"1","#ffe119","Dabiki"
9,168.36,1,"Type'M'flare star",1,"#C80000","","3","Breathable Mix|Breathable Mix|Breathable Mix|","Burning|Cold|Cold|","Immiscible biosphere|No native biosphere|Human-miscible biosphere|","Hundreds of thousands|Tens of thousands|Hundreds of thousands|","4. Baseline postech|3. Twentieth-century|1. Medieval|","Civil War|Area 51|Alien Ruins|","Civil War|Area 51|Alien Ruins|",77759,99668.36,"1","#ffe119","Enradamuda"
32,86.48,2,"Type'M'flare star",0,"#C80000","","3","Airless/Thin Atmosphere|Breathable Mix|Breathable Mix|","Warm|Temperate|Frozen|","Microbial life|No native biosphere|No native biosphere|","Hundreds of thousands|Hundreds of thousands|Billions|","0. Stone age|3. Twentieth-century|3. Twentieth-century|","Out of Contact|Bubble Cities|Alien Ruins|","Out of Contact|Bubble Cities|Alien Ruins|",77782,99586.48,"1","#ffe119","Hobi"
115,22.08,0,"Faint type'M'red star",0,"#C80000","Beme","4","Airless/Thin Atmosphere|Breathable Mix|Breathable Mix|Breathable Mix|","Variable cold-to-temperate|Cold|Temperate|Cold|","Human-miscible biosphere|No native biosphere|Hybrid biosphere|Immiscible biosphere|","Hundreds of thousands|Tens of thousands|Tens of thousands|Millions|","1. Medieval|3. Twentieth-century|3. Twentieth-century|4. Baseline postech|","Colonized Population|Area 51|Area 51|Badlands World|","Colonized Population|Area 51|Area 51|Badlands World|",77865,99522.08,"1","#ffe119","Beme"
13,168.36,29,"Type'M'flare star",0,"#C80000","Hori","4","Inert Gas|Inert Gas|Breathable Mix|Corrosive, and invasive atmosphere|","Temperate|Cold|Cold|Cold|","Human-miscible biosphere|No native biosphere|Human-miscible biosphere|Human-miscible biosphere|","Hundreds of thousands|Tens of thousands|Millions|Failed colony|","4. Baseline postech|3. Twentieth-century|1. Medieval|2. Nineteenth-century|","Area 51|Area 51|Out of Contact|Civil War|","Area 51|Area 51|Out of Contact|Civil War|",77763,99668.36,"1","#ffe119","Hori"
66,123.28,0,"Faint type'M'red star",0,"#C80000","Beti","4","Inert Gas|Breathable Mix|Breathable Mix|Breathable Mix|","Temperate|Cold|Warm|Temperate|","No native biosphere|No native biosphere|Biosphere remnants|Human-miscible biosphere|","Billions|Tens of thousands|Hundreds of thousands|Hundreds of thousands|","4. Baseline postech|3. Twentieth-century|4. Baseline postech|4. Baseline postech|","Altered Humanity|Area 51|Badlands World|Civil War|","Altered Humanity|Area 51|Badlands World|Civil War|",77816,99623.28,"1","#ffe119","Beti"
237,230.92,24,"Type'M'flare star",0,"#C80000","Nante","5","Corrosive|Inert Gas|Invasive, toxic atmosphere|Breathable Mix|Breathable Mix|","Cold|Warm|Temperate|Temperate|Warm|","Immiscible biosphere|No native biosphere|Human-miscible biosphere|Biosphere remnants|Immiscible biosphere|","Hundreds of thousands|Tens of thousands|Hundreds of thousands|Millions|Millions|","4. Baseline postech|0. Stone age|4. Baseline postech|4. Baseline postech|4. Baseline postech|","Abandoned Colony|Civil War|Civil War|Desert World|Cold War|","Abandoned Colony|Civil War|Civil War|Desert World|Cold War|",77987,99730.92,"1","#ffe119","Nante"
82,119.6,0,"Type'M'flare star",0,"#C80000","Bigi","5","Corrosive, and invasive atmosphere|Breathable Mix|Breathable Mix|Breathable Mix|Breathable Mix|","Warm|Cold|Temperate|Temperate|Warm|","Microbial life|No native biosphere|Human-miscible biosphere|Hybrid biosphere|Immiscible biosphere|","Hundreds of thousands|Tens of thousands|Billions|Failed colony|Millions|","4. with specialties or surviving pretech|3. Twentieth-century|4. Baseline postech|4. Baseline postech|4. Baseline postech|","Altered Humanity|Badlands World|Badlands World|Colonized Population|Cold War|","Altered Humanity|Badlands World|Badlands World|Colonized Population|Cold War|",77832,99619.6,"1","#ffe119","Bigi"
125,157.32,1,"Type'M'flare star",0,"#C80000","","1","Invasive, toxic atmosphere|","Frozen|","Human-miscible biosphere|","Outpost|","4. Baseline postech|","Colonized Population|","Colonized Population|",77875,99657.32,"1","#ffe119","Momo"
24,11.96,0,"Type'M'flare star",4,"#C80000","Anra","2","Invasive, toxic atmosphere|Breathable Mix|","Variable cold-to-temperate|Temperate|","Human-miscible biosphere|Immiscible biosphere|","Hundreds of thousands|Billions|","3. Twentieth-century|1. Medieval|","Civil War|Colonized Population|","Civil War|Colonized Population|",77774,99511.96,"1","#ffe119","Anra"
107,228.16,6,"Type'M'red star",5,"#C80000","","2","Invasive, toxic atmosphere|Breathable Mix|","Burning|Temperate|","No native biosphere|No native biosphere|","Aliens|Hundreds of thousands|","4. Baseline postech|3. Twentieth-century|","Alien Ruins|Badlands World|","Alien Ruins|Badlands World|",77857,99728.16,"1","#ffe119","Keni"
6,160.08,1,"Faint type'M'red star",2,"#C80000","","2","Airless/Thin Atmosphere|Corrosive, and invasive atmosphere|","Variable cold-to-temperate|Warm|","Hybrid biosphere|Immiscible biosphere|","Hundreds of thousands|Hundreds of thousands|","4. Baseline postech|4. Baseline postech|","Cold War|Desert World|","Cold War|Desert World|",77756,99910.08,"1","#ffe119","Osu"
81,231.84,23,"Type'M'flare star",0,"#C80000","","3","Airless/Thin Atmosphere|Breathable Mix|Breathable Mix|","Warm|Cold|Warm|","No native biosphere|Human-miscible biosphere|Immiscible biosphere|","Failed colony|Tens of thousands|Millions|","4. Baseline postech|4. Baseline postech|4. Baseline postech|","Alien Ruins|Bubble Cities|Colonized Population|","Alien Ruins|Bubble Cities|Colonized Population|",77831,99981.84,"1","#ffe119","Hindi"
